사업자등록번호,순번,데이터수집일자,기업코드,경영진명,직위코드,직위명칭,담당업무명,등기상태,등기상태명,경영진영문명,우편번호,주소,상세주소,학력명세,주요경력사항,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
6318100095,1,20220226,8504954,정**,30,대표이사사장,,,,,,,,,,I,20221114,,
1018100096,1,20220223,1777018,채**,31,사장,,1,등기,Chae Eun Mi,,,,헬싱키국제경영대학원,페더럴익스프레스코리아주 부장,I,20221114,,
6808100097,1,20210902,6548624,유**,30,대표이사사장,대표이사 (경영총괄),,,"Yoo, Chang Hun",,,,,주센스톤 대표이사,I,20221114,,
6808100097,2,20210902,6548624,강**,71,이사,부대표 (국내영업총괄),,,,,,,,,I,20221114,,
6808100097,3,20210902,6548624,박**,71,이사,감사 (감사),,,,,,,,,I,20221114,,
6808100097,4,20210902,6548624,정**,71,이사,"부대표 (국내영업,기획,관리)",,,,,,,,,I,20221114,,
2048100098,1,20220315,1663796,박**,30,대표이사사장,,,,,,,,기타,주재능이아카데미 이사,I,20221114,,
4708800099,1,20211129,8084314,김**,28,대표이사,대표이사 (경영총괄),,,"Kim, Man Nyun",,,,,주씨티에스 경영총괄,I,20221114,,
1058200100,1,20220222,2656653,추**,122,단장,,,,Choo Sangho,,,,,,I,20221114,,
1238100101,1,,,,,,,,,,,,,,,I,20221114,,
1248100102,1,,,,,,,,,,,,,,,I,20221114,,
4168100103,1,,,,,,,,,,,,,,,I,20221114,,
1198100104,1,,,,,,,,,,,,,,,I,20221114,,
1248100105,1,,,,,,,,,,,,,,,I,20221114,,
6148200106,1,20211129,8859511,석**,30,대표이사사장,,,,Seok Je Beom,,,,,,I,20221114,,
1918100107,1,20220126,8174616,형**,30,대표이사사장,,,,,,,,,,I,20221114,,
2018100108,1,20220126,1930472,박**,30,대표이사사장,,,,,,,,,,I,20221114,,
4120400109,1,20210923,5670248,한**,28,대표이사,대표 (경영총괄),,,"Han, Dong Hee",,,,,미래정보통신 대표,I,20221114,,
1108100110,1,20210902,3218113,송**,30,대표이사사장,,,,,,,,샌프란시스코주립대학 경영학2007,주튼튼영어 대표이사,I,20221114,,
1108100110,2,20210902,3218113,송**,62,상무이사,,,,,,,,,,I,20221114,,
1018100111,1,20210902,1644749,최*,30,대표이사사장,,,,,,,,,"삼성에스디에스,DocuSign,Mobvoi",I,20221114,,
1018100111,2,20210902,1644749,최**,30,대표이사사장,,,,,,,,서울대학교 대학원 경영학 석사1982,"KIST,상명대학교",I,20221114,,
1018100111,3,20210902,1644749,김**,43,부사장,,,,,,,,,"삼성데이타시스템,동부CNI",I,20221114,,
1018100111,4,20210902,1644749,박**,999,기타,,,,,,,,,,I,20221114,,
1138600112,1,20220418,3209096,이**,30,대표이사사장,,,,,,,,,,I,20221114,,
1138600112,2,20220418,3209096,홍**,31,사장,,1,등기,Hong Sang Wook,,,,기타,주홍인터내셔날 대표이사 사장,I,20221114,,
1108100113,1,20220418,1713109,김**,30,대표이사사장,,,,,,,,단국대학교,경력 주 다우기술 영업본부 상무        한국정보인증주,I,20221114,,
1108100113,2,20220418,1713109,고**,60,기타비상무이사,,,,,,,,,경력 한국방송통신전파진흥원 부원장현,I,20221114,,
1108100113,3,20220418,1713109,조**,60,기타비상무이사,,,,,,,,,경력 삼성SDS 기획팀 팀장현,I,20221114,,
1108100113,4,20220418,1713109,권**,65,상무보,,,,,,,,,경력 주미래테크놀로지 솔루션사업부 부장15.0621.09,I,20221114,,
1108100113,5,20220418,1713109,김**,65,상무보,,,,,,,,경기대학교,경력 한국정보인증주 경영지원본부장17.01현재,I,20221114,,
1108100113,6,20220418,1713109,김**,65,상무보,기술,2,비등기,Kim Jae Jung,,,,성신여자대학교 컴퓨터네트워크 박사,경력 한국정보인증주  신기술개발사업단장16.01  현재,I,20221114,,
1108100113,7,20220418,1713109,고**,71,이사,,,,,,,,,경력 주 다우기술 영업팀 팀장00.0418.12        주 이,I,20221114,,
1108100113,8,20220418,1713109,권**,71,이사,,,,,,,,,경력 주다우기술00.08  12.12         PLNC 13.01 14.01,I,20221114,,
1108100113,9,20220418,1713109,안**,71,이사,해외,2,비등기,An Gi Beom,,,,서강대학교,경력 한국정보인증주 마케팅기획팀 이사 17.0118.12,I,20221114,,
1108100113,10,20220418,1713109,이**,71,이사,,,,,,,,고려대학교,경력 한국정보인증주09.0318.01        주와이즈버즈18,I,20221114,,
1108100113,11,20220418,1713109,조**,71,이사,,,,,,,,고려대학교,경력 주다우데이타00.0106.07        주다우기술06.07,I,20221114,,
1108100113,12,20220418,1713109,김**,72,이사대우,,,,,,,,,경력 주미래테크놀로지 솔루션사업부 이사03.0121.09,I,20221114,,
1108100113,13,20220418,1713109,김**,76,사외이사,,,,,,,,,경력 KB국민카드 지원본부장        KB국민카드 법인사업부장,I,20221114,,
1108100113,14,20220418,1713109,이**,76,사외이사,,,,,,,,,경력 이투데이 대표이사        코스리 대표이사        한국임,I,20221114,,
1108100113,15,20220418,1713109,정**,76,사외이사,,,,,,,,,경력 주디리아 공동대표이사17.0318.09        주토마토,I,20221114,,
1108100113,16,20220418,1713109,김**,999,기타,,,,,,,,,경력 스타트업성장연구원 부원장현,I,20221114,,
1108100113,17,20220418,1713109,이**,999,기타,,,,,,,,,경력 다우엑실리콘 CFO06.1112.06         주다우인큐브 C,I,20221114,,
1108100113,18,20220418,1713109,임**,999,기타,,,,,,,,,경력 주미래테크놀로지 전무02.0420.03        주미래테,I,20221114,,
1298600114,1,20220519,3348566,박**,30,대표이사사장,,,,,,,,,엔에이치엔주 이사관리사무,I,20221114,,
6218100115,1,20220418,1660201,한**,30,대표이사사장,,,,,,,,성심여자대학교 학사,디케이주 대표이사,I,20221114,,
