사업자등록번호,순번,데이터수집일자,데이터구분,과제명,과제코드,성과ID,성과고유번호,성과년도,과제기준년도,부처코드,부처명,예산사업코드,예산사업명,연구수행기관코드,연구수행주체명,6T코드,6T분류명,국가기술지도코드,국가기술지도명,과학기술표준대분류코드,과학기술표준대분류명,과학기술표준중분류코드,과학기술표준중분류명,과학기술표준소분류코드,과학기술표준소분류명,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1048100172,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100172,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100173,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100173,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100174,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100174,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100175,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100176,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100176,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100177,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100177,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100178,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100178,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100179,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100180,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100180,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100181,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100182,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100182,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100183,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100183,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100184,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100184,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100185,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100185,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100186,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100186,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100187,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100187,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100188,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1048100188,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
