"BIZ_NO","COMPANY_NAME","CEO_NAME","FOUNDATION_DATE","IND_CD","IND_NAME","FOUNDATION_DATE","ADDRESS"
"1138684066",갤럭시모바일,박종순,"20140408","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20140408","서울특별시 강남구 언주로 427, 1807호 (역삼동,디오빌역삼)"
"1138688233",나인메이슨,구소담,"20140725","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20140725","서울 금천구 가산디지털2로 98 2동 1107호 (가산동,롯데아이티캐슬)"
"1138689886",네오플래닝,한현희,"20140828","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20140828","서울특별시 서초구 서초중앙로 125, 비1층 비-08호 (서초동,로이어즈타워)"
"1138691548",매드오카,나지웅,"20141023","58219",기타 게임 소프트웨어 개발 및 공급업,"20141023","서울특별시 구로구 디지털로 306 311호 (구로동,대륭포스트타워2차)"
"1138691738",조니웍스,이수찬,"20141103","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20141103","서울특별시 마포구 매봉산로 31, 시너지움 9층 901호 (상암동,에스플렉스센터)"
"1138692116",트웰브모먼츠,전영욱,"20141031","58219",기타 게임 소프트웨어 개발 및 공급업,"20141031","경기도 부천시 부광로 220 628호 (옥길동,우성테크노파크1)"
"1138801244",네오팝콘,정현주,"20180828","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20180828","경기도 성남시 분당구 정자일로 15 202호 (금곡동,분당하우스토리)"
"1148170691",블룸테크놀로지,이상윤,"19960401","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"19960401","경기 성남시 분당구 판교로228번길 15 2동 10층 1003호 (삼평동,판교세븐벤처밸리)"
"1148193597",엠게임,권이형,"19991228","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"19991228","서울특별시 금천구 가산디지털1로 145 7층 (가산동,에이스하이엔드타워3차)"
"1148601092",신생명공학연구소,이승호,"20000719","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20000719","경기도 성남시 분당구 매화로 51 302-2파호 (야탑동,로즈프라자)"
"1148601786",노아시스템,조재준,"20000816","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20000816","서울 금천구 가산디지털1로 171 1807호 (가산동,에스케이브이원센터)"
"1148636946",포트락게임즈,황원태,"20040611","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20040611","서울특별시 강남구 테헤란로79길 6, 3-5층 (삼성동,제이에스타워)"
"1148640251",조은게임,유병현,"20041125","58219",기타 게임 소프트웨어 개발 및 공급업,"20041125",서울 마포구 동교로 61-1 (망원동)
"1148657446",한국켐텍,최성일,"20070209","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20070209","경기도 안양시 동안구 엘에스로 92 21동 229호 (호계동,안양국제유통단지)"
"1148702875",일렉트릭몬스터,김호진,"20120808","58219",기타 게임 소프트웨어 개발 및 공급업,"20120808","서울 구로구 디지털로30길 28 1504호 (구로동,마리오타워)"
"1148705983",탄젠트,유병의,"20130103","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20130103","서울특별시 서초구 도구로16길 3 401호 (방배동,성지빌딩)"
"1148711883",삼이일코어,최정욱,"20130912","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20130912","인천광역시 연수구 아트센터대로 149, 102동 304호 (송도동,커낼워크D1 SPRING)"
"1148719774",마스트게임즈,김우성,"20140818","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20140818","부산광역시 해운대구 수영강변대로 140 711호 (우동,부산문화콘텐츠컴플렉스)"
"1148721697",워프,채윤영,"20141106","58219",기타 게임 소프트웨어 개발 및 공급업,"20141106","서울특별시 서초구 방배중앙로 215 (방배동,경덕빌딩)"
"1148722395",팀스퀘어,고태경,"20141121","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20141121","서울특별시 서대문구 증가로 14, 2층 (연희동)"
"1148722809",메타버스게임즈,오태훈,"20141212","58219",기타 게임 소프트웨어 개발 및 공급업,"20141212","서울특별시 성동구 뚝섬로1길 63 11층 (성수동1가,영창디지털타워)"
"1148723263",엔터치,천성민,"20150106","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20150106","서울특별시 서초구 서초대로 51 5층 (방배동,송도빌딩)"
"1168154101",조이시티,조성원,"19940530","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"19940530","경기도 성남시 분당구 분당로 55 (서현동,분당퍼스트타워)"
"1168154611",한국기상,전진환,"19931227","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"19931227",경기도 하남시 미사강변북로115번길 30 201호 (망월동)
"1168178194",인벤토리몰,김태윤,"20200206","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20200206","서울특별시 금천구 가산디지털1로 88 1601-5호 (가산동,아이티프리미어타워)"
"1168196339",빅게임스튜디오,최재영,"20201016","58219",기타 게임 소프트웨어 개발 및 공급업,"20201016",서울특별시 강남구 선릉로 551 지하1층 (역삼동)
