사업자등록번호,순번,데이터수집일자,언론사명,기사날짜,기사제목,기사내용,기자명,URL링크,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1048100165,7,20220328,더드라이브,20211123,"국토교통부, '제14회 교통문화발전대회' 개최",,,,I,20221104,,
1048100165,8,,,,,,,,I,20221104,,
1048100166,1,20220321,,,,,,,I,20221104,,
1048100166,2,,,,,,,,I,20221104,,
1048100167,1,20220321,,,,,,,I,20221104,,
1048100167,2,,,,,,,,I,20221104,,
1048100168,1,20220321,,,,,,,I,20221104,,
1048100168,2,,,,,,,,I,20221104,,
1048100169,1,20220321,,,,,,,I,20221104,,
1048100169,2,,,,,,,,I,20221104,,
1048100170,1,20220321,,,,,,,I,20221104,,
1048100170,2,,,,,,,,I,20221104,,
1048100171,1,,,,,,,,I,20221104,,
1048100172,1,20220321,,,,,,,I,20221104,,
1048100172,2,,,,,,,,I,20221104,,
1048100173,1,20220321,,,,,,,I,20221104,,
1048100173,2,,,,,,,,I,20221104,,
1048100174,1,20220321,,,,,,,I,20221104,,
1048100174,2,,,,,,,,I,20221104,,
1048100175,1,20220321,,,,,,,I,20221104,,
1048100175,2,,,,,,,,I,20221104,,
1048100176,1,20220530,국제신문,20220526,"TKG휴켐스, 여수산단에 질산·MNB 공장 착공",,,,I,20221104,,
1048100176,2,20220519,뷰어스,20220517,[대우건설 줌인]②도시정비 최대 실적 경신 목표…리모델링 기술력 앞세운다,,,,I,20221104,,
1048100176,3,20220429,뉴스워치,20220411,[건설&ESG④ - 대우건설] 스마트건설 안전중심과 탄소중립 통한 ESG 선도하다,,,,I,20221104,,
1048100176,4,20220422,뉴스워치,20220411,[건설&ESG④ - 대우건설] 스마트건설 안전중심과 탄소중립 통한 ESG 선도하다,,,,I,20221104,,
1048100176,5,20220408,데일리임팩트,20220404,"대우건설, TKG휴켐스 여수공장 신설 공사 계약",,,,I,20221104,,
1048100176,6,20220405,e대한경제,20180518,"대우건설, 신임 사장 후보 4명 압축",,,,I,20221104,,
1048100176,7,20220328,e대한경제,20180518,"대우건설, 신임 사장 후보 4명 압축",,,,I,20221104,,
1048100176,8,,,,,,,,I,20221104,,
1048100177,1,20220530,시장경제신문,20220507,[부고] 박영식 (전 대우건설 사장)씨 모친상,,,,I,20221104,,
1048100177,2,20220519,시장경제신문,20220507,[부고] 박영식 (전 대우건설 사장)씨 모친상,,,,I,20221104,,
1048100177,3,20220429,비즈니스워치,20220112,"'중흥 품' 대우건설, 새 대표에 백정완 전무…6년 만에 내부출신",,,,I,20221104,,
1048100177,4,20220422,비즈니스워치,20220112,"'중흥 품' 대우건설, 새 대표에 백정완 전무…6년 만에 내부출신",,,,I,20221104,,
1048100177,5,20220408,비즈니스워치,20220112,"'중흥 품' 대우건설, 새 대표에 백정완 전무…6년 만에 내부출신",,,,I,20221104,,
1048100177,6,20220405,비즈니스워치,20220112,"'중흥 품' 대우건설, 새 대표에 백정완 전무…6년 만에 내부출신",,,,I,20221104,,
1048100177,7,20220328,비즈니스워치,20220112,"'중흥 품' 대우건설, 새 대표에 백정완 전무…6년 만에 내부출신",,,,I,20221104,,
1048100177,8,,,,,,,,I,20221104,,
1048100178,1,20220321,,,,,,,I,20221104,,
1048100178,2,,,,,,,,I,20221104,,
1048100179,1,,,,,,,,I,20221104,,
1048100180,1,20220321,,,,,,,I,20221104,,
1048100180,2,,,,,,,,I,20221104,,
1048100181,1,,,,,,,,I,20221104,,
1048100182,1,20220321,,,,,,,I,20221104,,
1048100182,2,,,,,,,,I,20221104,,
1048100183,1,20220321,,,,,,,I,20221104,,
1048100183,2,,,,,,,,I,20221104,,
1048100184,1,20220321,,,,,,,I,20221104,,
1048100184,2,,,,,,,,I,20221104,,
1048100185,1,20220530,,,,,,,I,20221104,,
1048100185,2,20220519,,,,,,,I,20221104,,
1048100185,3,20220429,,,,,,,I,20221104,,
1048100185,4,20220422,,,,,,,I,20221104,,
1048100185,5,20220408,,,,,,,I,20221104,,
1048100185,6,20220405,,,,,,,I,20221104,,
1048100185,7,20220328,,,,,,,I,20221104,,
1048100185,8,,,,,,,,I,20221104,,
1048100186,1,20220530,뉴시스,20220502,'격주 월화수목휴휴휴'…보안업계 최초로 주 4.5일제 시행한 이곳,,,,I,20221104,,
1048100186,2,20220519,뉴시스,20220502,'격주 월화수목휴휴휴'…보안업계 최초로 주 4.5일제 시행한 이곳,,,,I,20221104,,
1048100186,3,20220429,베이비타임즈,20220304,'2022년 국방미래도전 컨퍼런스' 스마트국방 발전방안 모색,,,,I,20221104,,
1048100186,4,20220422,베이비타임즈,20220304,'2022년 국방미래도전 컨퍼런스' 스마트국방 발전방안 모색,,,,I,20221104,,
1048100186,5,20220408,베이비타임즈,20220304,'2022년 국방미래도전 컨퍼런스' 스마트국방 발전방안 모색,,,,I,20221104,,
1048100186,6,20220405,베이비타임즈,20220304,'2022년 국방미래도전 컨퍼런스' 스마트국방 발전방안 모색,,,,I,20221104,,
1048100186,7,20220328,베이비타임즈,20220304,'2022년 국방미래도전 컨퍼런스' 스마트국방 발전방안 모색,,,,I,20221104,,
1048100186,8,,,,,,,,I,20221104,,
1048100187,1,20220321,,,,,,,I,20221104,,
1048100187,2,,,,,,,,I,20221104,,
1048100188,1,20220530,스마트경제,20220527,"티머니, ESG 경영 강화 '박차'…'ESG경영팀' 신설",,,,I,20221104,,
1048100188,2,20220519,데일리팝,20220513,[솔로이코노미 동향] 코웨이·번개장터·탈잉·캐시워크 外,,,,I,20221104,,
1048100188,3,20220429,블록체인밸리,20220420,"티머니GO, 누적회원 200만 명 달성",,,,I,20221104,,
1048100188,4,20220422,블록체인밸리,20220421,"티머니GO, 누적회원 200만 명 달성",,,,I,20221104,,
1048100188,5,20220408,데일리팝,20220406,[ESG 경영] 이니스프리·KT&G·마켓컬리·스타벅스 外,,,,I,20221104,,
1048100188,6,20220328,디스커버리뉴스,20220316,"티머니, IPX(구 라인프렌즈)의 반전 매력 캐릭터 '미니니)' 티머니카드 최초 선봬",,,,I,20221104,,
1048100188,7,,,,,,,,I,20221104,,
1048100189,1,20220321,,,,,,,I,20221104,,
1048100189,2,,,,,,,,I,20221104,,
1048100190,1,20220321,,,,,,,I,20221104,,
1048100190,2,,,,,,,,I,20221104,,
1048100191,1,,,,,,,,I,20221104,,
1048100192,1,20220321,,,,,,,I,20221104,,
1048100192,2,,,,,,,,I,20221104,,
1048100193,1,20220321,,,,,,,I,20221104,,
1048100193,2,,,,,,,,I,20221104,,
1048100194,1,20220530,미디어파인,20210410,"'천장지구', 홍콩 누아르+로맨스의 대명사 [유진모 칼럼]",,,,I,20221104,,
1048100194,2,20220519,미디어파인,20210410,"'천장지구', 홍콩 누아르+로맨스의 대명사 [유진모 칼럼]",,,,I,20221104,,
1048100194,3,20220429,미디어파인,20210410,"'천장지구', 홍콩 누아르+로맨스의 대명사 [유진모 칼럼]",,,,I,20221104,,
1048100194,4,20220422,미디어파인,20210410,"'천장지구', 홍콩 누아르+로맨스의 대명사 [유진모 칼럼]",,,,I,20221104,,
1048100194,5,20220408,미디어파인,20210410,"'천장지구', 홍콩 누아르+로맨스의 대명사 [유진모 칼럼]",,,,I,20221104,,
1048100194,6,20220405,미디어파인,20210410,"'천장지구', 홍콩 누아르+로맨스의 대명사 [유진모 칼럼]",,,,I,20221104,,
1048100194,7,20220328,미디어파인,20210410,"'천장지구', 홍콩 누아르+로맨스의 대명사 [유진모 칼럼]",,,,I,20221104,,
1048100194,8,,,,,,,,I,20221104,,
1048100195,1,20220530,,,,,,,I,20221104,,
1048100195,2,20220519,,,,,,,I,20221104,,
1048100195,3,20220429,,,,,,,I,20221104,,
1048100195,4,20220422,,,,,,,I,20221104,,
1048100195,5,20220408,,,,,,,I,20221104,,
1048100195,6,20220405,,,,,,,I,20221104,,
1048100195,7,20220328,,,,,,,I,20221104,,
1048100195,8,,,,,,,,I,20221104,,
1048100196,1,20220530,,,,,,,I,20221104,,
1048100196,2,20220519,,,,,,,I,20221104,,
1048100196,3,20220429,,,,,,,I,20221104,,
1048100196,4,20220422,,,,,,,I,20221104,,
1048100196,5,20220408,,,,,,,I,20221104,,
1048100196,6,20220405,,,,,,,I,20221104,,
1048100196,7,20220328,,,,,,,I,20221104,,
1048100196,8,,,,,,,,I,20221104,,
1048100197,1,20220530,,,,,,,I,20221104,,
1048100197,2,20220519,,,,,,,I,20221104,,
1048100197,3,20220429,,,,,,,I,20221104,,
1048100197,4,20220422,,,,,,,I,20221104,,
1048100197,5,20220408,,,,,,,I,20221104,,
1048100197,6,20220405,,,,,,,I,20221104,,
1048100197,7,20220328,,,,,,,I,20221104,,
1048100197,8,,,,,,,,I,20221104,,
1048600198,1,20220321,,,,,,,I,20221104,,
1048600198,2,,,,,,,,I,20221104,,
1048600199,1,20220321,,,,,,,I,20221104,,
1048600199,2,,,,,,,,I,20221104,,
